% Idregistro,cliente,hotel,fecharegistro,estadia,opinion
registro(1,10,30,'10/01/2021',4,3).
registro(2,10,30,'8/04/2022',2,5).
registro(3,10,31,'2/07/2022',5,5).
registro(4,11,8,'4/06/2021',6,6).
registro(5,11,30,'23/02/2021',2,6).
registro(6,12,30,'30/01/2021',5,5).
registro(7,12,31,'14/02/2022',6,4).
registro(8,13,18,'5/10/2021',3,9).
registro(9,13,24,'20/09/2021',1,5).
registro(10,14,7,'13/01/2021',4,4).
registro(11,14,26,'4/01/2021',6,4).
registro(12,15,24,'4/05/2022',5,2).
registro(13,15,25,'23/02/2021',3,1).
registro(14,17,23,'4/02/2021',1,1).
registro(15,18,22,'13/02/2022',3,7).
registro(18,19,21,'28/04/2022',3,4).
registro(19,20,2,'6/03/2021',4,5).
registro(20,21,18,'4/02/2021',4,4).
registro(21,22,15,'30/06/2021',2,9).
registro(22,23,6,'26/07/2021',2,4).
registro(23,24,3,'30/04/2022',3,1).
registro(24,24,10,'12/06/2021',1,9).
registro(25,1,1,'2/01/2021',3,5).
registro(26,1,11,'2/09/2021',1,8).
registro(27,1,12,'10/05/2021',4,1).
registro(28,1,4,'25/07/2021',6,1).
registro(29,1,5,'12/02/2021',2,10).
registro(30,2,13,'29/09/2021',5,1).
registro(31,2,14,'28/01/2022',2,4).
registro(32,2,16,'21/07/2021',6,6).
registro(33,2,9,'14/01/2021',4,6).
registro(34,3,17,'5/01/2021',4,4).
registro(35,3,19,'19/06/2022',2,10).
registro(36,3,20,'31/01/2022',5,5).
registro(37,4,21,'29/01/2021',4,6).
registro(38,4,27,'19/10/2021',5,10).
registro(39,4,28,'13/01/2022',1,8).
registro(40,5,29,'26/01/2021',6,8).
registro(41,5,33,'15/03/2022',4,6).
registro(42,5,1,'11/05/2021',4,8).
registro(43,6,11,'19/03/2021',2,10).
registro(44,6,12,'10/06/2022',4,6).
registro(45,6,4,'6/03/2022',4,3).
